类别,助记符,操作码,操作数,编码格式,功能描述,使用方法
io,dma.status,0x6006,"rd, rs1",I-Type,DMA 状态,"读取 DMA 传输状态"

--------设备驱动指令--------
驱动,uart.send,0x7000,"rs1",I-Type,UART 发送,"向 UART 发送一个字节"
驱动,uart.recv,0x7001,"rd",I-Type,UART 接收,"从 UART 接收一个字节"
驱动,spi.transfer,0x7002,"rd, rs1",R-Type,SPI 传输,"通过 SPI 发送和接收数据"
驱动,i2c.read,0x7003,"rd, rs1",I-Type,I2C 读取,"从 I2C 设备读取数据"
驱动,i2c.write,0x7004,"rs1, rs2",S-Type,I2C 写入,"向 I2C 设备写入数据"
驱动,gpu.draw,0x7005,"rs1, rs2",R-Type,GPU 绘图,"向 GPU 发送绘图命令"
驱动,audio.play,0x7006,"rs1, rs2",R-Type,音频播放,"向音频设备发送数据"

--------CSR 定义--------
csr,mstatus,0x300,读写,机器状态寄存器,"控制全局中断和特权模式"
csr,mie,0x304,读写,机器中断使能,"控制中断使能"
csr,mip,0x344,读写,机器中断挂起,"读取中断挂起状态"
csr,mtvec,0x305,读写,机器陷阱向量,"设置异常处理程序地址"
csr,mepc,0x341,读写,机器异常 PC,"保存异常发生时的 PC"
csr,mcause,0x342,只读,机器异常原因,"读取异常原因"
csr,mtval,0x343,只读,机器陷阱值,"读取异常附加信息"
csr,mhartid,0xF14,只读,硬件线程 ID,"读取当前核心 ID"
csr,mtime,0x701,只读,机器时间,"读取当前时间"
csr,mtimecmp,0x704,读写,机器时间比较,"设置定时器中断"
csr,fflags,0x001,读写,浮点异常标志,"浮点异常标志（无效操作、除零、溢出等）"
csr,frm,0x002,读写,浮点舍入模式,"浮点舍入模式"
csr,fcsr,0x003,读写,浮点控制状态寄存器,"fflags + frm"
csr,mpriority,0x346,读写,机器中断优先级,"设置中断优先级（0-15）"
csr,sipriority,0x146,读写,监管中断优先级,"设置监管中断优先级"
csr,uipriority,0x046,读写,用户中断优先级,"设置用户中断优先级"
